z,cordero2008,csd_legacy_cov
1,0.31,0.23
2,0.28,1.5
3,1.28,1.28
4,0.96,0.96
5,0.84,0.83
6,0.76,0.68
7,0.71,0.68
8,0.66,0.68
9,0.57,0.64
10,0.58,1.5
11,1.66,1.66
12,1.41,1.41
13,1.21,1.21
14,1.11,1.2
15,1.07,1.05
16,1.05,1.02
17,1.02,0.99
18,1.06,1.51
19,2.03,2.03
20,1.76,1.76
21,1.7,1.7
22,1.6,1.6
23,1.53,1.53
24,1.39,1.39
25,1.61,1.61
26,1.52,1.52
27,1.5,1.26
28,1.24,1.24
29,1.32,1.32
30,1.22,1.22
31,1.22,1.22
32,1.2,1.17
33,1.19,1.21
34,1.2,1.22
35,1.2,1.21
36,1.16,1.5
37,2.2,2.2
38,1.95,1.95
39,1.9,1.9
40,1.75,1.75
41,1.64,1.64
42,1.54,1.54
43,1.47,1.47
44,1.46,1.46
45,1.42,1.42
46,1.39,1.39
47,1.45,1.45
48,1.44,1.54
49,1.42,1.42
50,1.39,1.39
51,1.39,1.39
52,1.38,1.47
53,1.39,1.4
54,1.4,1.5
55,2.44,2.44
56,2.15,2.15
57,2.07,2.07
58,2.04,2.04
59,2.03,2.03
60,2.01,2.01
61,1.99,1.99
62,1.98,1.98
63,1.98,1.98
64,1.96,1.96
65,1.94,1.94
66,1.92,1.92
67,1.92,1.92
68,1.89,1.89
69,1.9,1.9
70,1.87,1.87
71,1.87,1.87
72,1.75,1.75
73,1.7,1.7
74,1.62,1.62
75,1.51,1.51
76,1.44,1.44
77,1.41,1.41
78,1.36,1.36
79,1.36,1.36
80,1.32,1.32
81,1.45,1.45
82,1.46,1.46
83,1.48,1.48
84,1.4,1.4
85,1.5,1.21
86,1.5,1.5
87,2.6,2.6
88,2.21,2.21
89,2.15,2.15
90,2.06,2.06
91,2,2
92,1.96,1.96
93,1.9,1.9
94,1.87,1.87
95,1.8,1.8
96,1.69,1.69
97,,1.54
98,,1.83
99,,1.5
100,,1.5
101,,1.5
102,,1.5
103,,1.5
104,,1.5
105,,1.5
106,,1.5
107,,1.5
108,,1.5
109,,1.5
110,,1.5
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
