z,bondi1964,rowland_taylor1996,alvarez2013,chernyshov2020,csd_legacy_vdw,rahm2016
1,1.2,1.1,1.2,1.21,1.09,1.54
2,1.4,,1.43,,1.4,1.34
3,1.81,,2.12,,1.82,2.2
4,,,1.98,,2,2.19
5,,,1.91,,2,2.05
6,1.7,1.77,1.77,1.91,1.7,1.9
7,1.55,1.64,1.66,1.76,1.55,1.79
8,1.52,1.58,1.5,1.74,1.52,1.71
9,1.47,1.46,1.46,1.55,1.47,1.63
10,1.54,,1.58,,1.54,1.56
11,2.27,,2.5,,2.27,2.25
12,1.73,,2.51,,1.73,2.4
13,,,2.25,,2,2.39
14,2.22,,2.19,,2.1,2.32
15,1.8,,1.9,,1.8,2.23
16,1.8,1.81,1.89,1.95,1.8,2.14
17,1.75,1.76,1.82,1.91,1.75,2.06
18,1.76,,1.83,,1.88,1.97
19,2.75,,2.73,,2.75,2.34
20,,,2.62,,2,2.7
21,,,2.58,,2,2.63
22,,,2.46,,2,2.57
23,,,2.42,,2,2.52
24,,,2.45,,2,2.33
25,,,2.45,,2,2.42
26,,,2.44,,2,2.26
27,,,2.4,,2,2.22
28,1.63,,2.4,,1.63,2.19
29,1.4,,2.38,,1.4,2.17
30,1.39,,2.39,,1.39,2.22
31,1.87,,2.32,,1.87,2.33
32,,,2.29,,2,2.34
33,1.85,,1.88,,1.85,2.31
34,1.9,,1.82,2.04,1.9,2.24
35,1.83,1.87,1.86,2,1.85,2.19
36,2.02,,2.25,,2.02,2.12
37,,,3.21,,2,2.4
38,,,2.84,,2,2.79
39,,,2.75,,2,2.74
40,,,2.52,,2,2.68
41,,,2.56,,2,2.51
42,,,2.45,,2,2.44
43,,,2.44,,2,2.41
44,,,2.46,,2,2.37
45,,,2.44,,2,2.33
46,1.63,,2.15,,1.63,2.15
47,1.72,,2.53,,1.72,2.25
48,1.62,,2.49,,1.58,2.38
49,1.93,,2.43,,1.93,2.46
50,2.17,,2.42,,2.17,2.48
51,,,2.47,,2,2.46
52,2,,1.99,,2.06,2.42
53,1.98,2.03,2.04,2.17,1.98,2.38
54,2.16,,2.06,,2.16,2.32
55,,,3.48,,2,2.49
56,,,3.03,,2,2.93
57,,,2.98,,2,2.84
58,,,2.88,,2,2.82
59,,,2.92,,2,2.86
60,,,2.95,,2,2.84
61,,,,,2,2.83
62,,,2.9,,2,2.8
63,,,2.87,,2,2.8
64,,,2.83,,2,2.77
65,,,2.79,,2,2.76
66,,,2.87,,2,2.75
67,,,2.81,,2,2.73
68,,,2.83,,2,2.72
69,,,2.79,,2,2.71
70,,,2.8,,2,2.77
71,,,2.74,,2,2.7
72,,,2.63,,2,2.64
73,,,2.53,,2,2.58
74,,,2.57,,2,2.53
75,,,2.49,,2,2.49
76,,,2.48,,2,2.44
77,,,2.41,,2,2.33
78,1.72,,2.29,,1.72,2.3
79,1.66,,2.32,,1.66,2.26
80,1.7,,2.45,,1.55,2.29
81,1.96,,2.47,,1.96,2.42
82,2.02,,2.6,,2.02,2.49
83,,,2.54,,2,2.5
84,,,,,2,2.5
85,,,,,2,2.47
86,,,,,2,2.43
87,,,,,2,2.58
88,,,,,2,2.92
89,,,2.8,,2,2.93
90,,,2.93,,2,2.89
91,,,2.88,,2,2.85
92,1.86,,2.71,,1.86,2.83
93,,,2.82,,2,2.8
94,,,2.81,,2,2.78
95,,,2.83,,2,2.76
96,,,3.05,,2,2.76
97,,,3.4,,2,
98,,,3.05,,2,
99,,,2.7,,2,
100,,,,,2,
101,,,,,2,
102,,,,,2,
103,,,,,2,
104,,,,,2,
105,,,,,2,
106,,,,,2,
107,,,,,2,
108,,,,,2,
109,,,,,2,
110,,,,,2,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
